Level,Problem,Attack,Defense
,,"Port scanning

Normal tcp request to check if port is open and responds with syn/ack. If not open it responds with RST


Idle scanning - to probe a target host indirectly through an idle host by using the IPID

Port sweep  One attacker looks for a specific service on many machines

Malicious traffic open a tcp/ip connection normally, play it by the rules but then send malicious data, exfiltrate ndata 

Port knocking can be used by both attackers (to hide a backdoor) or by system admins
To protect sensitive services
1. Sequential or random scan only finds closed ports
2. Client shares a secret with server that identifies specific ports to probe in a fixed order (3,1,2,4);
server replies to last probe (4) with random port (n) where the service will be provided
3. Client connect to service on the random port","IDS 

Detect active information gathering: host/port/vuln scans, port sweeps
And stop those requests or alert admin"
HTTP,HTTP over TCP/IP,Eavesdropping or MITM,Use HTTPS
,Cache Poisoning,"HTTP Proxy cache poisoning
Rogue http responses sent downstream",\/
,Response code abuse through header modification,"Response code abuse using rare response codes to evade the IDS

Infected host requests dummy page on C2 (Command and control) server. Server replies with response code to execute commands.",\/
,Response Splitting,Attacker confuses client to accept bogus response over keepalive,\/
,SSL Stripping,"MITM attacker stops https upgrade 
forms https connection to server themselves and sends http back to the victim.","HSTS - strict transport security.
[issue hsts must be sent over https so browser must know to immediately connect on https] 
DANE can associate HSTS to DNSSEC"
,Referrer Header,"Information leak through the referrer header. 
Attacker can see the query string or the link between A and B","Use Referrer-Policy header to control sending of referrer header.
Put sensitive data in POST body rather than in GET query string"
,DNS Spoofing,Attacker can abuse DNS records,"DNS over HTTPS (DoH) - centralisation concerns - easy to fingerprint
DNSSEC"
PHP,,,
,,,
Server Side Security,Path Traversal,Maniupulate input/url to access unauthorized files (URL Hacking),"Restrict web app server using www account - only access public files

Sandboxing in virtual file system using “chroot jail”

Access control restriction in server config or web app logic"
,Remote File Inclusion,"Inclusion of remote files through parameter manipulation. Can execute files through url manipulation

Dangerous:
Php.ini : allow_url_fopen=1
include()
include_once()
require()
require_once()
fopen()
readfile()
file_get_contents()","Configure PHP settings

Use secure patterns for file inclusion - whitelist of expected pages"
,Server-Side Request Forgery,"Manipulation of server requests to access unauthorised resources

Data exfiltration: GET /?url=file:///etc/passwd HTTP/1.1
Port Scanning: GET /?url=http://127.0.0.1:22 HTTP/1.1","Parameter validation

Request whitelisting"
,Untrusted Query Strings,"Direct object references – update.php?account=target_id&action=unsubscribe 

function level access control -
update.php?account=userid&action=upgrade_to_root","DON’T TRUST USER INPUT

Deny operations by default only allow after authorization

Bind parameters to user session


HTTPS DOES NOT HELP HERE"
,Command Injection,Execution of arbitrary code via user input,"Input validation - blacklists are fragile

Whitelist inputs

Static and Dynamic analysis, Taint Analysis"
SQL,SQLI Countermeasure,Pros,Cons
,"Input filtering

Escape or remove risky characters preventing use as sql syntax",Easy to implement,"Hard to cover all inputs 
Hard to escape correctly across multiple trust boundaries"
,"Prepared Statements

Pre-defined queries with placeholders for params","More robust
Faster due to optimizations",Require more expertise to know how they work
,"Stored Procedures

Parameterised SQL Queries stored in the database - “API”-like behaviour","Separate from the application
Encapsulated","Need to avoid injection on themselves
Run with higher privileges"
,"Static/Dynamic Code Analysis

Specialised tools to analyse code. 

Type systems: ensure query param is of expected type

Taint Analysis: detect if untrusted input can reach db without sanitation",Verify code to make sure there is no route for SQLI,More manual work required. Could miss some edge cases.
,"Limit DB use

Anomaly detections",,Performance trade-off
,"Web App Firewall

Use ids for packet analysis.",Can automatically stop suspicious queries,"False positives
More technically difficult to implement"
,Careful Programming Framework,Fundamental improvements to code,"Some vulnerabilities inherited from framework itself
Unnecessary functionality increasing size of trusted base
User error when dealing with framework code"
Javascript,Malicious Code Obfuscation,"Attacker can use obfuscation to hide malicious code using string manipulation, identifier mangling, encryption, etc",Deobfuscation tools
XSS,,<script type=,
,,<img src,
,,<body onload=alert(document.cookie)></body>,
Browser Security,Phishing,"Attacker sets up fake website to steal user data. 

Websites hosted using domain tricks and similar names to legitimate sites. Reputation considerations are important. Phishing kits available but often send data to the maker too.","Prevent spreading of phishing links through spam - Block spam
Safe-browsing (black)lists of phishing sites - warn user before proceeding
Automated detection through ML"
,ClickJacking,"Attacker overlays an inconspicuous website over a target website 

when users think they are clicking one thing on the overlay they are actually clicking something on the target site.","X-Frame-Options Header:
‘DENY’: prevent webpage to be displayed in an iframe

‘SAMEORIGIN’: Allows iframing only by pages in the same origin

‘ALLOW-FROM https://example.com’: limits iframing to pages from specified origin [less widely supported]

Frame-Busting Javascript: Use following script if(self != top) top.location = self.location - to prevent framing"
,Drive-by-Downloads,Install malware on target machine when they visit an attacker webpage,"Disable or sandbox plugins

Use safe-browsing

Employ IDS to detect suspicious javascript

Harden browsers against exploits"
,Content Sniffing,"Attacker can employ polyglots to bypass content detection and again access to the server. 

Polyglot + Content sniffing can lead to bypassing the SOP","X-Content-Type-Options
Set X-Content-Type-Options: nosniff

Tell browser not to sniff content and trust the content type header to know how to run the resource"
Same Origin Policy,DNS Rebinding,Evade SOP by associating the attacker DNS name to the targets IP Address,"DNS Pinning - bindings cannot be changed too quickly
Prevent external DNS queries to resolve to internal addresses"
Scripting Attacks,XSS,"DOM-Based XSS - Attacker controlled parameters - embedded on page 
Reflexted XSS
Stored XSS - store malicious code on database
Self XSS - user injects malicious code on themselves thinking it is useful for them","XSS Filters
Html special char()

Suspicious of complicated regular expressions

Audited whitelists

Context dependent Sanitization 

Templates and frameowkrs

Browser Enforced Defences
Block url param in body as script

X-xss protection

Attribute mode = block

Attribute mode = report

CSP?

Statistical Anomaly Detection
Side Effect Reversion
Defensive Programming techniques"
,Cross-Channel Scripting,"Attacker targets embedded devices, IoT through non-http channels to inject xss payload",
,Other XSS,"Universal XSS - browser extension compromise
Scriptless attacks - css,font,svg,html to do attack
Resident XSS",
,Script Source Snooping,Attacker reads and anlyses web app source code to find vulnerabilities,"Obfuscation
Removing script node from DOM"
,Prototype Poisoning,Attacker redefined or overwrites prototypes of core js components,"Type checks - typeof()
Avoid using prototypes"
,iframe XSS,Attacker deploys xss to an iframe - can control entire dom.,Use HTML5 Sandboxing to isolate iframe
,,,Content Security Policy
Browser Storage,"webstorage, Cookies, indexedDB","Resident XSS - Attacker injects xss script on input that will stored within the storage medium. 
Attacker can execute this in the future","DO NOT TRUST BROWSER STORAGE
Sanitise the stored values as would with inputs
Periodically validate, refresh or delete browser storage."
,Cookie theft,"Attacker can steal cookies in various ways - MITM,XSS","Set cookies to expire
Cookie Attributes:
Secure - cookies only sent over https

HTTPOnly - doesnt allow javascript to access cookie - stops XSS cookie theft

Same Site - mitigates cross origin"
